Annotation,Count
PL20,1
GT88,1
PL36_2,1
GH72,1
GH90,1
PL7_4,1
CBM72,1
GH134,1
PL32,1
GT93,2
GH124,2
GH107,2
CBM53,2
PL9_3,2
GH5_43,2
PL8_1,2
PL3,2
GH43_36,3
GT82,3
GT29,3
GH5_51,3
GH162,4
GT45,4
PL3_4,4
CBM70,4
GT42,4
GT77,4
GH5_53,4
GH30_7,4
GT47,4
CBM69,4
PL18,4
PL4_4,4
CBM21,4
CBM71,5
GH82,5
PL2_1,5
GT7,6
PL1_7,7
CBM80,7
PL2_2,7
GH75,7
PL10,7
CBM44,7
CBM75,8
PL7_2,8
GH5_24,8
GH150,8
GH14,8
PL6_3,8
PL1_3,8
CBM36,9
PL1_13,9
GH30_9,9
AA5_2,10
CBM59,10
CBM30,11
GH5_52,11
PL25,11
GH5_17,12
CBM60,12
PL33,12
GH58,12
GH5_47,13
GH5_34,13
PL1_5,14
CBM17,14
GH5_35,14
CBM68,15
GT99,15
CBM28,16
GT103,16
PL17_1,16
GH111,17
GH71,17
PL7_3,17
GH86,17
GH5_29,18
PL14,18
GT70,18
CBM11,18
GT78,18
PL13,19
PL3_1,19
GH43_23,19
PL15_2,19
GH96,19
GH152,19
CBM82,19
GH45,19
GH70,21
GH49,21
GT71,21
CBM46,21
PL7_1,21
CBM40,21
PL2,22
CBM63,22
GT38,22
PL4_1,23
CBM25,24
PL30,24
PL15_1,25
CBM83,25
GT62,25
CBM42,26
GH157,26
PL6_2,26
PL1_8,27
CBM56,28
CBM78,28
CBM27,29
GH5_45,29
CBM26,29
GH5_42,29
PL34,29
GH5_55,29
PL9_4,30
PL7,30
PL11_2,30
GH119,31
GH43_15,31
GT12,32
PL4,35
GH91,36
GT80,36
CBM76,39
GH5_12,39
GH5_40,40
CBM79,41
GH30_6,41
GT60,43
GT52,43
PL10_2,45
GH54,47
PL7_5,47
GH64,48
PL14_3,49
GT74,49
PL5,49
PL27,50
PL1_6,51
GH43_37,51
CBM85,52
GH68,52
GH5_22,53
PL31,53
GT23,53
PL21,56
GH52,57
CBM3,58
CBM16,59
PL22_1,61
CBM54,61
GH135,62
PL8_2,62
GH46,64
GH5_26,64
CBM73,65
PL37,66
GH43_30,67
GH121,67
GH5_41,69
GH62,70
GH98,70
GH5_48,72
GH48,72
CBM77,72
GH5_38,73
GT102,73
PL10_3,76
GH100,78
GT53,79
GT85,80
CBM65,83
PL22_2,85
GH47,86
GT75,86
GH43_7,86
GH5_18,87
CBM8,88
GH43_20,89
CE16,90
PL29,90
AA5,90
GH12,91
GH5_21,93
GH161,94
GH11,95
GT17,99
GH6,100
GT73,100
GH30_5,100
GT55,101
GH164,104
PL15,104
CE13,104
GH87,109
GH79,112
GH143,114
GH5_39,118
PL17_2,118
GH43_27,121
GH30_8,122
GH101,123
GH5_19,123
PL26,126
GT6,127
GH117,128
CE5,131
GH147,132
PL6_1,135
GH5_54,137
GH5_28,139
CBM47,140
PL8_3,141
GH156,142
CBM62,146
GH93,147
PL33_2,153
GH43_9,153
GH159,153
CBM66,154
PL9_2,156
PL22,156
GH81,157
GH128,158
GH5_8,159
GT22,160
GH138,162
GH30,166
GH5_10,166
GH104,167
PL9_1,168
CBM61,169
GH139,172
PL8,173
GH5_36,179
GH149,180
GH74,180
GH43_2,184
CBM23,186
GH43_16,187
GH5_37,192
CBM35,194
GH114,195
GH17,197
GH43,199
PL11_1,205
GH55,205
GT101,207
CBM74,212
PL10_1,213
GH59,214
GH5_25,215
GH126,216
PL6,218
GH43_8,218
PL1,218
CBM2,222
GH137,222
GH66,228
GH43_31,229
PL17,229
PL11,237
GH43_3,237
GH148,242
GH43_32,244
GH43_5,245
GH43_4,245
GH99,250
CBM22,251
GH151,252
GH145,253
AA10,256
GH5_44,259
CBM41,264
GH43_18,266
GH43_22,268
GH44,273
GH129,275
PL9,277
CBM4,279
GH5_1,293
PL35,294
GH43_19,294
PL12,300
GT89,301
GH158,303
GH165,303
GH5_5,306
GH30_2,308
GH85,308
GH43_33,310
PL33_1,311
GT107,312
GT76,318
CBM20,320
GH43_29,328
